financial_year,week_number,channel_slot,cost,updated_at,updated_by
2023,26,B,19106.29,2026-08-19,bootstrap
2024,26,B,12276.070000000007,2026-08-19,bootstrap
2022,27,B,9561.789999999999,2026-08-19,bootstrap
2023,27,B,10455.710000000006,2026-08-19,bootstrap
2024,27,B,12102.44000000002,2026-08-19,bootstrap
2022,28,B,11280.369999999997,2026-08-19,bootstrap
2023,28,B,6270.36,2026-08-19,bootstrap
2024,28,B,11998.580000000013,2026-08-19,bootstrap
2022,29,B,11964.35,2026-08-19,bootstrap
2023,29,B,7383.469999999998,2026-08-19,bootstrap
2024,29,B,11440.450000000017,2026-08-19,bootstrap
2022,30,B,10317.65,2026-08-19,bootstrap
2023,30,B,7036.019999999996,2026-08-19,bootstrap
2024,30,B,11381.330000000044,2026-08-19,bootstrap
2022,31,B,11028.559999999998,2026-08-19,bootstrap
2023,31,B,5674.59,2026-08-19,bootstrap
2024,31,B,11922.860000000017,2026-08-19,bootstrap
2022,32,B,10205.790000000003,2026-08-19,bootstrap
2023,32,B,7798.340000000002,2026-08-19,bootstrap
2024,32,B,13124.110000000006,2026-08-19,bootstrap
2022,33,B,9368.439999999995,2026-08-19,bootstrap
2023,33,B,6746.789999999999,2026-08-19,bootstrap
2024,33,B,14259.600000000002,2026-08-19,bootstrap
2022,34,B,8777.850000000002,2026-08-19,bootstrap
2023,34,B,21202.30999999999,2026-08-19,bootstrap
2024,34,B,14534.310000000014,2026-08-19,bootstrap
2022,35,B,9152.919999999996,2026-08-19,bootstrap
2023,35,B,3016.149999999999,2026-08-19,bootstrap
2024,35,B,11110.89999999999,2026-08-19,bootstrap
2022,36,B,5032.340000000002,2026-08-19,bootstrap
2023,36,B,2468.77,2026-08-19,bootstrap
2024,36,B,4847.919999999997,2026-08-19,bootstrap
2022,37,B,2671.42,2026-08-19,bootstrap
2023,37,B,2696.8799999999974,2026-08-19,bootstrap
2024,37,B,1978.7499999999986,2026-08-19,bootstrap
2022,38,B,1892.5699999999997,2026-08-19,bootstrap
2023,38,B,7488.259999999998,2026-08-19,bootstrap
2024,38,B,4351.600000000001,2026-08-19,bootstrap
2022,39,B,6419.160000000004,2026-08-19,bootstrap
2023,39,B,13600.099999999995,2026-08-19,bootstrap
2024,39,B,16645.810000000023,2026-08-19,bootstrap
2022,40,B,10251.540000000006,2026-08-19,bootstrap
2023,40,B,13133.179999999997,2026-08-19,bootstrap
2024,40,B,18716.829999999994,2026-08-19,bootstrap
2022,41,B,15438.120000000003,2026-08-19,bootstrap
2023,41,B,17635.42,2026-08-19,bootstrap
2024,41,B,10097.22,2026-08-19,bootstrap
2022,42,B,17099.949999999997,2026-08-19,bootstrap
2023,42,B,12010.869999999997,2026-08-19,bootstrap
2024,42,B,9585.890000000009,2026-08-19,bootstrap
2022,43,B,11050.259999999998,2026-08-19,bootstrap
2023,43,B,7996.069999999999,2026-08-19,bootstrap
2024,43,B,9984.670000000002,2026-08-19,bootstrap
2022,44,B,9822.999999999998,2026-08-19,bootstrap
2023,44,B,6058.3100000000095,2026-08-19,bootstrap
2024,44,B,8915.48000000002,2026-08-19,bootstrap
2022,45,B,10420.970000000007,2026-08-19,bootstrap
2023,45,B,6426.880000000007,2026-08-19,bootstrap
2024,45,B,9659.470000000018,2026-08-19,bootstrap
2022,46,B,9796.830000000002,2026-08-19,bootstrap
2023,46,B,8278.599999999997,2026-08-19,bootstrap
2024,46,B,12967.290000000035,2026-08-19,bootstrap
2022,47,B,10005.619999999995,2026-08-19,bootstrap
2023,47,B,9188.219999999996,2026-08-19,bootstrap
2024,47,B,23134.650000000005,2026-08-19,bootstrap
2022,48,B,11024.619999999999,2026-08-19,bootstrap
2023,48,B,2319.2699999999986,2026-08-19,bootstrap
2024,48,B,3147.2599999999984,2026-08-19,bootstrap
2022,49,B,8597.070000000002,2026-08-19,bootstrap
2023,49,B,3286.37,2026-08-19,bootstrap
2024,49,B,3121.360000000001,2026-08-19,bootstrap
2022,50,B,7214.929999999996,2026-08-19,bootstrap
2023,50,B,3826.110000000001,2026-08-19,bootstrap
2024,50,B,5226.2,2026-08-19,bootstrap
2022,51,B,5666.530000000001,2026-08-19,bootstrap
2023,51,B,5842.940000000005,2026-08-19,bootstrap
2024,51,B,11092.950000000013,2026-08-19,bootstrap
2022,1,C,40527.49616000001,2026-08-19,bootstrap
2023,1,C,38343.640000000014,2026-08-19,bootstrap
2024,1,C,31056.560000000005,2026-08-19,bootstrap
2025,1,C,34297.67000000001,2026-08-19,bootstrap
2022,2,C,32919.755248,2026-08-19,bootstrap
2023,2,C,39138.14,2026-08-19,bootstrap
2024,2,C,23673.870000000003,2026-08-19,bootstrap
2025,2,C,37267.959999999985,2026-08-19,bootstrap
2022,3,C,47643.878867999956,2026-08-19,bootstrap
2023,3,C,39449.04000000001,2026-08-19,bootstrap
2024,3,C,27311.480000000003,2026-08-19,bootstrap
2025,3,C,26293.320000000007,2026-08-19,bootstrap
2022,4,C,63737.84496499998,2026-08-19,bootstrap
2023,4,C,28033.179999999993,2026-08-19,bootstrap
2024,4,C,23983.120000000006,2026-08-19,bootstrap
2025,4,C,30400,2026-08-19,bootstrap
2022,5,C,38265.64518300001,2026-08-19,bootstrap
2023,5,C,29635.64,2026-08-19,bootstrap
2024,5,C,29367.140000000018,2026-08-19,bootstrap
2025,5,C,34917,2026-08-19,bootstrap
2022,6,C,30158.849555999986,2026-08-19,bootstrap
2023,6,C,27545.059999999983,2026-08-19,bootstrap
2024,6,C,35685.040000000015,2026-08-19,bootstrap
2025,6,C,30842,2026-08-19,bootstrap
2022,7,C,24796.71669400001,2026-08-19,bootstrap
2023,7,C,26196.279999999995,2026-08-19,bootstrap
2024,7,C,30468.229999999996,2026-08-19,bootstrap
2025,7,C,34000,2026-08-19,bootstrap
2022,8,C,26049.102466000008,2026-08-19,bootstrap
2023,8,C,27553.870000000006,2026-08-19,bootstrap
2024,8,C,27081.97,2026-08-19,bootstrap
2025,8,C,29000,2026-08-19,bootstrap
2022,9,C,19801.355886999994,2026-08-19,bootstrap
2023,9,C,24161.460000000006,2026-08-19,bootstrap
2024,9,C,18304.850000000006,2026-08-19,bootstrap
2025,9,C,20383,2026-08-19,bootstrap
2022,10,C,17757.402373999983,2026-08-19,bootstrap
2023,10,C,22520.63,2026-08-19,bootstrap
2024,10,C,11841.720000000005,2026-08-19,bootstrap
2025,10,C,35000,2026-08-19,bootstrap
2022,11,C,18285.164252000006,2026-08-19,bootstrap
2023,11,C,18893.320000000014,2026-08-19,bootstrap
2024,11,C,18165.17000000001,2026-08-19,bootstrap
2022,12,C,17481.004024999995,2026-08-19,bootstrap
2023,12,C,20229.580000000016,2026-08-19,bootstrap
2024,12,C,26980.000000000007,2026-08-19,bootstrap
2022,13,C,21589.571200999995,2026-08-19,bootstrap
2023,13,C,26464.67,2026-08-19,bootstrap
2024,13,C,27584.780000000006,2026-08-19,bootstrap
2022,14,C,24281.345899000007,2026-08-19,bootstrap
2023,14,C,26980.28,2026-08-19,bootstrap
2024,14,C,28294.09000000001,2026-08-19,bootstrap
2022,15,C,25015.742842,2026-08-19,bootstrap
2023,15,C,24242.120000000003,2026-08-19,bootstrap
2024,15,C,25580.110000000008,2026-08-19,bootstrap
